DP,Coordenadas,Ano,Mes,HOMICÍDIO DOLOSO (2),Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,HOMICÍDIO CULPOSO OUTROS,TENTATIVA DE HOMICÍDIO,LESÃO CORPORAL SEGUIDA DE MORTE,LESÃO CORPORAL DOLOSA,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,LESÃO CORPORAL CULPOSA - OUTRAS,LATROCÍNIO,Nº DE VÍTIMAS EM LATROCÍNIO,TOTAL DE ESTUPRO (4),ESTUPRO,ESTUPRO DE VULNERÁVEL,TOTAL DE ROUBO - OUTROS (1),ROUBO - OUTROS,ROUBO DE VEÍCULO,ROUBO A BANCO,ROUBO DE CARGA,FURTO - OUTROS,FURTO DE VEÍCULO
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2014,Set,0,0,0,0,0,0,0,,41,30,1,0,0,1,,,280,,3,0,0,518,20
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2014,Out,0,0,0,0,0,0,3,,55,22,1,0,0,2,,,298,,2,0,4,534,15
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2014,Nov,0,0,0,0,1,0,4,,36,22,0,1,1,2,,,349,,0,0,5,485,5
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2014,Dez,2,2,0,0,0,1,3,,43,10,2,0,0,2,,,293,,4,0,2,413,11
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2013,Jan,0,0,0,0,0,0,3,,39,20,0,0,0,1,,,318,,4,0,1,466,29
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2013,Fev,1,1,0,0,0,0,3,,38,15,0,0,0,1,,,250,,2,0,0,467,23
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2013,Mar,3,4,0,0,0,0,2,,31,11,0,0,0,0,,,240,,4,0,0,437,35
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2013,Abr,1,1,0,0,1,0,0,,29,16,0,0,0,1,,,266,,1,0,2,495,23
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2013,Mai,2,2,0,0,0,0,1,,53,15,1,1,1,2,,,292,,3,0,2,1.145,17
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2013,Jun,0,0,0,0,5,0,0,,45,10,0,0,0,3,,,282,,3,0,1,584,13
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2013,Jul,0,0,0,0,0,0,1,,25,22,0,0,0,1,,,340,,2,0,0,552,25
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2013,Ago,0,0,0,0,0,0,0,,35,22,0,0,0,1,,,230,,7,0,2,509,20
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2013,Set,1,1,0,0,0,0,1,,46,19,0,0,0,1,,,267,,0,0,4,406,13
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2013,Out,0,0,0,0,0,0,2,,63,12,0,0,0,3,,,307,,4,0,3,477,25
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2013,Nov,1,1,0,0,2,0,1,,49,14,0,0,0,2,,,265,,2,0,0,434,28
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2013,Dez,0,0,0,0,0,0,1,,63,15,0,0,0,3,,,329,,4,0,4,440,15
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2012,Jan,1,1,0,0,1,0,3,,18,12,44,0,0,1,,,240,,1,0,0,453,19
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2012,Fev,0,0,0,0,0,0,2,,40,14,14,0,0,2,,,129,,0,0,1,526,19
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2012,Mar,0,0,0,0,0,0,1,,35,59,6,0,0,1,,,212,,2,0,2,502,15
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2012,Abr,0,0,0,0,0,0,1,,40,37,0,0,0,0,,,176,,4,0,0,455,11
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2012,Mai,0,0,0,0,0,0,3,,11,15,34,0,0,0,,,247,,4,0,0,684,23
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2012,Jun,1,1,0,0,0,0,2,,25,14,1,0,0,1,,,206,,3,0,5,470,17
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2012,Jul,0,0,0,0,1,1,5,,74,19,11,0,0,1,,,287,,9,0,0,570,24
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2012,Ago,1,1,0,0,0,0,1,,43,15,1,0,0,1,,,229,,4,0,3,521,15
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2012,Set,0,0,0,0,0,0,1,,49,27,0,0,0,1,,,240,,2,0,0,582,8
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2012,Out,2,2,0,0,0,0,0,,32,22,0,0,0,0,,,250,,5,0,1,539,15
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2012,Nov,2,2,0,0,0,0,6,,33,23,0,0,0,2,,,211,,3,0,1,571,27
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2012,Dez,2,2,0,0,0,0,5,,41,23,0,0,0,0,,,198,,2,0,1,512,24
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2011,Jan,0,0,,,0,0,3,,35,19,1,1,1,0,,,239,,4,0,0,408,21
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2011,Fev,1,1,,,0,0,1,,39,0,8,0,0,0,,,298,,2,0,0,614,17
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2011,Mar,1,1,,,0,0,1,,38,27,1,1,1,0,,,232,,1,0,0,432,6
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2011,Abr,0,0,,,0,0,0,,34,23,1,0,0,0,,,216,,1,0,1,1.211,13
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2011,Mai,1,1,,,1,0,1,,41,23,0,0,0,4,,,352,,1,2,1,708,12
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2011,Jun,1,1,,,0,0,1,,32,38,0,0,0,0,,,250,,3,0,1,576,14
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2011,Jul,0,0,,,0,0,0,,32,39,18,0,0,0,,,253,,3,0,2,574,9
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2011,Ago,0,0,,,1,0,0,,14,34,13,0,0,0,,,190,,2,0,0,485,19
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2011,Set,0,0,,,0,0,0,,15,25,8,0,0,3,,,178,,0,0,1,544,12
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2011,Out,0,0,,,0,0,0,,31,29,15,0,0,2,,,183,,2,0,1,569,18
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2011,Nov,2,2,,,0,0,0,,31,32,1,0,0,0,,,196,,1,0,1,508,15
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2011,Dez,1,1,,,0,0,3,,42,20,29,0,0,0,,,238,,2,0,1,484,18
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2010,Jan,5,5,0,0,0,0,0,,44,13,0,0,0,0,,,273,,3,0,1,457,4
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2010,Fev,2,2,0,0,0,0,1,,22,20,2,0,0,2,,,271,,5,0,1,475,9
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2010,Mar,2,2,0,0,0,0,1,,27,37,1,0,0,0,,,228,,1,0,3,564,20
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2010,Abr,2,2,0,0,1,0,1,,33,25,1,0,0,0,,,199,,3,0,1,451,26
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2010,Mai,2,2,0,0,1,0,0,,30,42,0,0,0,1,,,246,,3,0,0,901,20
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2010,Jun,1,1,0,0,0,0,1,,34,28,0,0,0,2,,,205,,0,1,1,527,17
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2010,Jul,4,4,0,0,2,1,2,,11,37,0,0,0,0,,,139,,1,0,0,531,17
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2010,Ago,1,1,0,0,0,0,0,,39,34,1,1,1,0,,,228,,7,0,3,517,21
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2010,Set,1,1,0,0,0,0,3,,32,20,0,0,0,2,,,279,,5,0,1,562,17
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2010,Out,0,0,0,0,0,0,0,,32,0,14,0,0,1,,,269,,3,0,3,414,20
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2010,Nov,5,5,0,0,0,0,1,,37,6,0,0,0,2,,,201,,8,0,1,385,18
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2010,Dez,2,2,0,0,0,0,0,,30,24,3,0,0,1,,,201,,4,0,4,436,21
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2009,Jan,2,2,0,0,2,0,1,0,25,22,4,0,0,1,,,298,,0,0,0,295,14
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2009,Fev,0,0,0,0,2,0,0,0,38,16,0,0,0,0,,,309,,3,1,2,270,6
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2009,Mar,2,2,0,0,2,0,1,0,33,26,0,0,0,0,,,307,,3,0,0,311,17
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2009,Abr,1,1,0,0,1,0,0,0,31,22,0,0,0,1,,,236,,5,0,1,425,14
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2009,Mai,2,2,0,0,1,0,3,0,38,33,0,0,0,1,,,276,,3,0,0,725,22
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2009,Jun,1,1,0,0,0,0,2,0,31,38,1,0,0,0,,,229,,3,1,1,514,9
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2009,Jul,1,1,0,0,1,1,0,0,46,30,0,0,0,1,,,278,,1,0,1,736,15
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2009,Ago,0,0,0,0,0,0,0,0,44,33,0,0,0,0,,,292,,1,0,1,601,8
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2009,Set,0,0,0,0,1,0,0,0,29,18,0,1,1,0,,,157,,9,0,0,298,5
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2009,Out,0,0,0,0,0,0,3,0,31,29,1,0,0,0,,,244,,1,0,1,710,17
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2009,Nov,2,2,0,0,0,0,0,0,35,40,1,0,0,0,,,226,,2,0,2,441,8
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2009,Dez,2,2,0,0,0,0,0,0,43,23,0,0,0,0,,,258,,2,0,3,695,12
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2008,Jan,2,2,0,0,1,0,0,0,29,22,2,0,0,1,,,234,,3,0,0,406,17
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2008,Fev,2,2,0,0,0,0,2,0,37,26,2,0,0,1,,,279,,5,0,2,360,20
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2008,Mar,1,1,0,0,1,0,0,0,32,18,1,0,0,0,,,317,,0,0,2,398,10
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2008,Abr,2,2,0,0,1,0,1,0,39,26,2,0,0,1,,,226,,4,0,0,602,26
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2008,Mai,0,0,0,0,0,0,1,0,27,29,2,0,0,1,,,300,,2,0,0,461,23
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2008,Jun,3,3,0,0,0,0,1,0,22,27,0,0,0,0,,,282,,1,0,0,437,13
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2008,Jul,2,2,0,0,0,0,1,0,38,31,1,0,0,0,,,311,,1,0,1,331,22
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2008,Ago,1,1,0,0,0,0,0,0,34,33,0,0,0,1,,,305,,1,0,1,407,20
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2008,Set,0,0,0,0,0,0,0,0,29,29,0,0,0,0,,,210,,1,0,1,345,9
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2008,Out,4,4,0,0,1,0,3,0,26,28,0,0,0,3,,,136,,4,0,0,274,6
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2008,Nov,1,1,0,0,1,2,0,0,38,26,1,0,0,0,,,187,,8,1,2,308,13
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2008,Dez,4,4,0,0,0,0,0,0,37,25,1,0,0,1,,,271,,3,0,1,333,10
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2007,Jan,2,2,0,0,0,0,4,0,30,24,3,0,0,0,,,316,,5,0,0,545,22
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2007,Fev,2,1,0,0,2,0,2,0,36,19,3,0,0,0,,,258,,5,0,0,508,20
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2007,Mar,0,0,0,0,0,0,0,0,39,25,1,0,1,0,,,275,,5,0,1,474,15
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2007,Abr,0,0,0,0,0,0,2,0,33,12,2,0,0,0,,,248,,1,1,3,545,17
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2007,Mai,1,1,0,0,0,0,0,0,21,26,2,0,0,0,,,197,,4,0,2,650,36
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2007,Jun,1,1,0,0,0,0,0,0,23,25,1,0,0,0,,,224,,7,0,4,511,22
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2007,Jul,0,0,0,0,1,0,0,0,31,32,3,0,0,1,,,158,,4,0,1,401,27
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2007,Ago,0,0,0,0,0,0,3,0,22,16,1,0,0,0,,,253,,3,0,1,502,20
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2007,Set,2,2,0,0,0,0,4,0,15,21,2,0,0,0,,,228,,2,0,0,342,17
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2007,Out,1,1,0,0,1,0,2,0,30,22,2,0,0,0,,,248,,3,0,0,566,19
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2007,Nov,2,2,0,0,1,0,1,0,34,27,0,0,0,1,,,224,,5,0,1,318,16
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2007,Dez,0,0,0,0,0,0,1,0,24,32,0,0,0,1,,,220,,6,0,2,387,18
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2006,Jan,1,1,0,0,0,0,1,0,50,26,3,0,0,0,,,286,,2,0,4,546,34
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2006,Fev,0,0,0,0,1,1,2,0,61,30,2,0,0,0,,,241,,5,1,3,479,23
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2006,Mar,4,4,0,0,1,0,3,0,64,39,1,0,0,0,,,284,,10,0,6,635,37
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2006,Abr,0,0,0,0,1,0,0,0,53,28,1,0,0,0,,,304,,11,2,3,566,19
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2006,Mai,1,2,0,0,0,0,2,0,48,14,1,0,0,1,,,287,,7,2,0,598,25
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2006,Jun,1,1,0,0,0,0,2,0,48,26,0,0,0,1,,,350,,9,1,2,702,27
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2006,Jul,3,2,0,0,1,0,3,0,50,31,1,0,0,1,,,285,,2,0,0,637,14
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2006,Ago,1,1,0,0,0,0,2,0,36,35,4,0,0,0,,,257,,3,0,0,551,28
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2006,Set,1,1,0,0,0,0,3,0,53,35,1,0,0,1,,,252,,5,3,0,404,20
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2006,Out,1,0,0,0,1,0,0,0,48,21,1,0,0,1,,,270,,7,1,0,514,26
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2006,Nov,0,1,0,0,2,0,3,0,42,26,3,0,0,1,,,258,,8,0,2,564,30
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2006,Dez,3,3,0,0,2,0,3,0,42,28,0,0,0,1,,,256,,4,1,2,512,21
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2005,Jan,1,1,0,0,0,1,1,0,55,30,3,1,1,0,,,310,,6,0,0,538,50
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2005,Fev,1,1,0,0,0,0,2,0,72,27,3,0,0,2,,,274,,5,0,5,494,38
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2005,Mar,2,2,0,0,1,0,5,0,63,38,1,0,0,2,,,287,,4,2,2,565,41
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2005,Abr,3,3,0,0,1,0,1,0,64,40,3,0,0,2,,,296,,8,0,2,560,39
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2005,Mai,0,0,0,0,0,0,4,0,71,32,0,0,0,0,,,274,,6,0,0,624,57
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2005,Jun,1,2,0,0,0,0,2,0,53,30,3,0,0,1,,,280,,4,0,0,523,57
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2005,Jul,2,2,0,0,3,0,0,0,39,34,1,0,0,0,,,297,,3,1,1,534,48
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2005,Ago,0,0,0,0,1,0,1,0,51,28,2,1,1,3,,,291,,6,0,0,564,39
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2005,Set,1,1,0,0,0,0,2,0,58,24,4,0,0,1,,,264,,8,0,0,558,37
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2005,Out,1,2,0,0,0,0,2,0,55,33,5,0,0,1,,,269,,4,1,3,533,38
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2005,Nov,2,2,0,0,0,0,0,0,50,29,2,0,0,1,,,299,,3,0,5,502,39
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2005,Dez,1,1,0,0,0,0,2,0,50,22,10,0,0,0,,,294,,3,0,2,546,30
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2004,Jan,4,4,0,0,0,0,4,0,48,29,3,0,0,0,,,313,,6,0,1,593,35
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2004,Fev,1,1,0,0,0,0,4,0,46,19,2,0,0,0,,,285,,6,0,3,486,26
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2004,Mar,0,0,0,0,0,0,0,0,50,36,1,0,0,2,,,337,,6,0,2,562,33
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2004,Abr,1,1,0,0,0,1,3,0,46,23,1,0,0,1,,,326,,9,0,6,468,26
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2004,Mai,1,1,0,0,2,0,5,0,40,29,0,0,0,2,,,319,,10,0,2,476,32
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2004,Jun,0,0,0,0,1,0,1,0,61,36,2,0,0,1,,,300,,11,0,3,581,48
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2004,Jul,1,1,0,0,0,0,2,0,52,33,4,0,0,1,,,335,,7,1,2,581,44
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2004,Ago,0,0,0,0,1,0,3,0,61,31,1,0,0,0,,,358,,7,0,1,590,46
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2004,Set,0,0,0,0,0,0,4,0,45,25,1,0,0,0,,,345,,8,0,5,622,55
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2004,Out,2,2,0,0,1,0,4,0,54,33,3,0,0,0,,,356,,3,0,3,555,35
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2004,Nov,2,2,0,0,0,0,2,0,42,23,1,0,0,0,,,335,,9,1,1,598,27
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2004,Dez,2,2,0,0,0,0,1,0,46,35,5,0,0,1,,,340,,7,0,0,593,42
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2003,Jan,3,3,0,0,0,0,5,0,42,19,5,0,0,3,,,415,,8,0,0,677,30
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2003,Fev,7,7,0,0,0,0,5,0,31,22,2,0,0,1,,,343,,5,0,0,479,31
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2003,Mar,6,6,0,0,2,1,3,0,26,23,3,0,0,1,,,352,,4,0,0,503,35
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2003,Abr,4,4,0,0,1,0,6,0,33,24,1,0,0,0,,,335,,9,0,0,495,33
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2003,Mai,6,6,0,0,1,0,5,0,42,21,4,0,0,1,,,352,,7,0,0,563,22
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2003,Jun,2,2,0,0,1,0,3,0,16,28,0,0,0,0,,,368,,6,0,0,517,27
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2003,Jul,5,5,0,0,0,0,0,0,28,18,5,0,0,0,,,418,,6,0,0,606,31
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2003,Ago,3,3,0,0,0,0,1,0,28,19,1,0,0,0,,,297,,8,0,0,463,26
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2003,Set,1,1,0,0,2,0,7,0,34,17,2,0,0,2,,,372,,6,0,0,527,36
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2003,Out,7,7,0,0,1,0,6,0,44,19,1,0,0,1,,,355,,5,0,0,481,21
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2003,Nov,3,3,0,0,1,0,3,0,49,28,4,0,0,0,,,358,,6,0,0,572,30
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2003,Dez,3,3,0,0,2,0,5,0,33,30,0,0,0,1,,,343,,8,0,0,534,29
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2002,Jan,0,0,0,0,0,0,1,0,41,24,1,0,0,1,,,399,,5,1,3,645,35
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2002,Fev,3,3,0,0,2,0,1,0,32,18,2,0,0,0,,,365,,3,0,7,570,34
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2002,Mar,8,8,0,0,3,1,2,0,32,21,4,0,0,1,,,384,,13,2,3,610,27
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2002,Abr,3,3,0,0,1,0,2,0,27,23,1,0,0,0,,,439,,7,0,8,649,25
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2002,Mai,0,0,0,0,3,0,4,0,34,22,0,0,0,2,,,393,,9,0,5,570,15
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2002,Jun,2,2,0,0,1,0,4,0,31,26,1,0,0,1,,,360,,7,1,4,569,33
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2002,Jul,7,7,0,0,0,0,3,0,34,20,2,0,0,0,,,374,,8,0,8,610,33
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2002,Ago,2,2,0,0,0,0,5,0,36,15,4,0,0,0,,,427,,4,0,2,664,42
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2002,Set,3,3,0,0,1,0,2,0,32,28,1,0,0,1,,,369,,5,0,0,468,29
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2002,Out,0,0,0,0,0,0,8,0,43,18,1,1,1,0,,,454,,8,0,0,597,34
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2002,Nov,3,3,0,0,0,0,3,0,44,17,2,0,0,1,,,363,,7,0,0,557,27
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2002,Dez,4,4,0,0,0,0,3,0,49,22,2,0,0,0,,,363,,6,0,0,552,31
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2001,Jan,1,1,0,0,0,0,2,0,18,21,2,0,0,2,,,258,,7,0,1,476,36
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2001,Fev,0,0,0,0,0,0,7,0,44,24,2,0,0,1,,,282,,8,0,2,469,40
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2001,Mar,1,1,0,0,0,0,4,0,30,19,2,0,0,0,,,278,,10,0,3,487,54
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2001,Abr,1,1,0,0,0,0,0,0,38,16,2,0,0,1,,,283,,7,1,3,446,35
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2001,Mai,6,6,0,0,0,0,1,0,35,22,2,0,0,1,,,290,,2,0,0,480,30
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2001,Jun,4,4,0,0,0,0,4,0,34,22,5,0,0,0,,,292,,4,0,0,430,19
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2001,Jul,2,2,0,0,0,0,2,0,31,27,3,0,0,0,,,301,,6,0,3,496,34
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2001,Ago,0,0,0,0,2,0,0,0,27,27,1,0,0,0,,,365,,8,0,7,516,40
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2001,Set,2,2,0,0,2,0,0,0,32,23,1,0,0,4,,,324,,12,0,3,545,30
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2001,Out,2,2,0,0,1,0,5,0,29,31,2,0,0,0,,,321,,16,1,5,616,24
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2001,Nov,1,1,0,0,0,0,2,0,33,19,4,0,0,0,,,415,,12,1,5,602,32
003 DP - Campos Elísios,"[-23.539323, -46.6397243]",2001,Dez,3,3,0,0,0,0,0,0,45,27,2,0,0,0,,,343,,2,1,3,604,34
